Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
327;2005/08/01 12:00:000;123,83;124,74;122,67;122,88;45370700;-0,7701387827645154;4882,39;4934,94;4827,18;4827,18;0;-1,1372407847542403
328;2005/08/08 12:00:000;123,15;124,5;122,38;123,06;56199300;-0,07310832542027385;4837,05;4990,57;4827,3;4937,33;0;2,051966848159934
329;2005/08/15 12:00:000;123,22;123,87;121,84;122,47;52731200;-0,6105273553228631;4935,22;4953,46;4834,16;4929,91;0;-0,10765191158780162
330;2005/08/22 12:00:000;122,58;123,23;120,68;120,76;60354600;-1,4958773218947579;4933,74;4954,41;4783,8;4783,8;0;-3,086211138265808
331;2005/08/29 12:00:000;120,41;123,15;120,38;122,27;71103300;1,5329128251971036;4756,68;4874,89;4726,33;4837,81;0;1,69121930899326
334;2005/09/12 12:00:000;124,45;124,67;122,87;123,5;59544100;-0,7662872745569137;5028,49;5035,39;4888,03;4986,5;0;-0,8385479376023288
335;2005/09/19 12:00:000;123,47;123,61;120,44;121,44;75254000;-1,6577897932332468;4928,14;4967,31;4827,86;4882,58;0;-0,9287866235490667
336;2005/09/26 12:00:000;122,02;123,04;121,02;123,04;61923700;0,8324540033627634;4938,18;5061,84;4938,18;5044,12;0;2,1226366198537776
337;2005/10/03 12:00:000;122,96;123,34;118,17;119,61;86885200;-2,762264916896701;5060,99;5138,02;4980,62;5007,77;0;-1,0571410110325943
338;2005/10/10 12:00:000;119,68;119,71;116,88;118,67;83304200;-0,8474982549119501;5027,28;5065,17;4929,11;4975,56;0;-1,0341155293575033
339;2005/10/17 12:00:000;118,8;119,81;117,12;118,13;97643200;-0,5655693968116018;4987,66;4999,0;4825,96;4838,4;0;-3,038277433890235
340;2005/10/24 12:00:000;118,44;120,54;117,93;119,8;73540700;1,1417182447958372;4838,25;4930,89;4762,75;4825,64;0;-0,2609716616564596
341;2005/10/31 12:00:000;120,29;122,66;120,13;122,11;72425900;1,5016783838949093;4854,59;5013,95;4854,59;4995,24;0;2,8560809838652776
342;2005/11/07 12:00:000;122,37;123,84;121,75;123,76;52100000;1,1294964267233811;4994,54;5092,8;4983,75;5090,75;0;1,9079851680799578
343;2005/11/14 12:00:000;123,79;125,28;122,86;125,13;58794400;1,0766615333244596;5083,27;5162,51;5063,86;5123,5;0;0,7883043966332067
344;2005/11/21 12:00:000;125,15;127,41;124,98;127,13;45646100;1,5697167084247863;5140,35;5204,14;5127,07;5194,27;0;1,0434924412819786
345;2005/11/28 12:00:000;127,25;127,27;125,29;126,85;54882400;-0,31483693853413386;5218,28;5307,99;5155,34;5307,99;0;1,7045386838275358
346;2005/12/05 12:00:000;126,7;127,74;125,48;126,33;59475600;-0,2924556485147259;5303,92;5309,93;5222,24;5282,13;0;-0,4116744352044301
347;2005/12/12 12:00:000;126,71;128,09;125,96;126,36;60706800;-0,27660348769324666;5316,46;5356,67;5274,97;5353,66;0;0,6972770825525895
348;2005/12/19 12:00:000;126,73;126,87;125,48;126,76;41473600;0,02366957287472892;5342,93;5425,62;5322,83;5419,05;0;1,4146331700187154
349;2005/12/27 12:00:000;126,96;127,05;124,36;124,51;38174500;-1,9486042253832363;5422,07;5469,96;5385,07;5408,26;0;-0,25502468502328524
352;2006/01/09 12:00:000;128,42;129,44;128,2;128,68;44690600;0,20225600049233908;5543,34;5553,55;5463,78;5483,09;0;-1,0928396522932842
355;2006/01/23 12:00:000;126,21;128,66;125,84;128,54;68967800;1,8292953672600938;5311,9;5650,95;5290,49;5647,42;0;6,124921700397694
356;2006/01/30 12:00:000;128,44;128,81;126,14;126,27;67974900;-1,7039397770724254;5636,24;5760,63;5614,29;5657,12;0;0,3697752270655003
357;2006/02/06 12:00:000;126,44;128,1;125,4;126,64;60534800;0,15805282253396824;5667,18;5745,49;5598,05;5701,47;0;0,6032396807681231
358;2006/02/13 12:00:000;126,6;129,21;125,95;128,81;66020900;1,7305940697920674;5699,44;5812,69;5683,88;5795,48;0;1,6710378987329366
361;2006/02/27 12:00:000;129,4;130,07;128,13;128,76;58587900;-0,4958175636192939;5888,81;5916,8;5691,21;5721,46;0;-2,8829922322206483
362;2006/03/06 12:00:000;129,14;129,18;127,18;128,59;60551200;-0,42680389159731813;5742,07;5804,95;5664,19;5804,92;0;1,088606133298537
363;2006/03/13 12:00:000;128,84;131,47;128,53;130,62;56313700;1,372102001151303;5820,74;5947,43;5807,61;5882,38;0;1,0534040494217989
364;2006/03/20 12:00:000;130,64;130,99;129,45;130,21;54832000;-0,3296916921572529;5895,78;5977,06;5847,9;5973,14;0;1,3035911525417367
365;2006/03/27 12:00:000;130,03;130,98;129,05;129,83;61921100;-0,15392906910663773;5972,15;5993,9;5863,07;5970,08;0;-0,03466689254403318
366;2006/04/03 12:00:000;130,07;131,4;129,35;129,54;61025600;-0,40830533208784053;5989,08;6047,98;5947,56;5952,92;0;-0,6055955537216401
367;2006/04/10 12:00:000;129,74;130,08;128,25;128,71;52095300;-0,7970636123622986;5951,08;6004,71;5860,5;5918,57;0;-0,5477850028179887
370;2006/04/24 12:00:000;130,89;131,75;129,59;131,47;76900300;0,4421412904885048;6058,75;6121,95;6003,91;6009,89;0;-0,8097062626450248
373;2006/05/08 12:00:000;132,51;132,77;129,19;129,24;59322400;-2,498697332024713;6126,96;6162,37;5915,74;5916,28;0;-3,499083223661407
374;2006/05/15 12:00:000;128,79;130,0;125,8;127,1;100634400;-1,320899270917053;5893,0;5902,44;5587,92;5672,28;0;-3,8174052541132424
375;2006/05/22 12:00:000;126,28;128,38;124,76;128,38;102646300;1,6492952193841166;5653,85;5788,47;5513,43;5788,36;0;2,3512275456223013
